Year_or_Period,S&P 500,Small Cap,T-Bill,10Y Treasury,Baa Corporate,Real Estate,Gold,Inflation,Cash,Portfolio_Return,Portfolio_Value,Portfolio_Drawdown,Turnover,Bull,Bear,Crisis,Dominant_Regime,Top_Allocated_Asset,Top_Asset_Weight,Decision_Mode,Decision_Explanation
1996,0.010100960055535116,0.0004315760546813234,0.025793000214568026,0.01481166770124352,0.8403596667457143,0.00761129375134904,0.006621071660562357,0.08474668484339859,0.009524078972107275,0.09671394309208049,1.0967139430920805,0.0,0.0,1.0,0.0,0.0,Bull,Baa Corporate,0.8403596667457143,Risk-on / Invested,"Bull regime probability is dominant, supporting higher exposure to risky assets. Cash weight is low (1.0%), indicating risk-on allocation. The largest allocation is to Baa Corporate (84.0%). Turnover is low (0.00), meaning the policy stayed relatively stable. The realised next-period portfolio return was positive (9.67%)."
1997,0.0010282324683689593,0.9336320668572752,0.0023542124286015046,0.0032994921705885956,0.04265039125262744,0.002339377377813659,0.009393535253363686,0.0019681118261190007,0.0033345803643081554,-0.13711144146174567,0.9463419134835304,-0.1371114414616207,1.8719459087908836,5.088942043685146e-122,0.0,1.0,Crisis,Small Cap,0.9336320668572752,Risk-on / Invested,"Crisis regime probability is dominant, so the policy is expected to behave defensively. Cash weight is low (0.3%), indicating risk-on allocation. The largest allocation is to Small Cap (93.4%). Portfolio is in meaningful drawdown (-13.7%), so risk control is important. Turnover is high (1.87), meaning the policy made a substantial allocation change. The realised next-period portfolio return was negative (-13.71%)."
1998,0.01017611002184358,0.13117149421153063,0.02927113667506778,0.02561478730946277,0.7307997963273022,0.018353377405296373,0.019156550795481887,0.025702824684639688,0.009753922568644286,0.032046221852144854,0.9766685963910069,-0.10945912328105148,1.604921145291692,1.2319900748977136e-237,1.0,5.5188339056532365e-21,Bear,Baa Corporate,0.7307997963273022,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (1.0%), indicating risk-on allocation. The largest allocation is to Baa Corporate (73.1%). Portfolio is in meaningful drawdown (-10.9%), so risk control is important. Turnover is high (1.60), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (3.20%)."
1999,0.004060309183562051,0.6977116893800129,0.011500077621703676,0.011348472671994094,0.23514220881424275,0.010964204784575255,0.015045110781948503,0.00887608337059277,0.005351843390670119,-0.07215356480343542,0.9061984755298281,-0.17371482213943448,1.1330803903369318,0.0,1.0,1.7475627706898567e-20,Bear,Small Cap,0.6977116893800129,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.5%), indicating risk-on allocation. The largest allocation is to Small Cap (69.8%). Portfolio is in meaningful drawdown (-17.4%), so risk control is important. Turnover is high (1.13), meaning the policy made a substantial allocation change. The realised next-period portfolio return was negative (-7.22%)."
2000,0.00015216670944015242,0.9863469980388445,0.00037031678552055023,0.0006694423232015622,0.009972413460404717,0.00034175178931685694,0.0017005899227714714,0.00010650141323640888,0.0003398195562775285,0.2972151854907828,1.1755344235258904,0.0,0.5772706173179515,6.627875e-317,1.0,1.494173280678891e-19,Bear,Small Cap,0.9863469980388445,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (98.6%). Turnover is high (0.58), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (29.72%)."
2001,4.195994613716645e-06,0.9996294962562953,9.364773431621784e-06,2.104154364051436e-05,0.00017406993152044363,1.4306114962346097e-05,0.00013073690207021364,1.762266520341882e-06,1.5026215945819823e-05,-0.058156187742842806,1.1071698228931444,-0.05815618774279325,0.026564996434914983,5.093653843878976e-295,1.0,1.0597032435331672e-20,Bear,Small Cap,0.9996294962562953,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (100.0%). Portfolio has a mild drawdown (-5.8%). Turnover is low (0.03), meaning the policy stayed relatively stable. The realised next-period portfolio return was negative (-5.82%)."
2002,7.32379733514916e-06,0.9994050712874429,1.3404808866342621e-05,3.6563773180371956e-05,0.00024581026742640476,1.9265315333438566e-05,0.00024137710565735006,3.3124122229093736e-06,2.7871231535379514e-05,0.8832444691615828,2.085071445386123,0.0,0.0004488499377046607,8.565030827300345e-273,0.9978775960519677,0.002122403948034684,Bear,Small Cap,0.9994050712874429,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (99.9%). Turnover is low (0.00), meaning the policy stayed relatively stable. The realised next-period portfolio return was positive (88.32%)."
2003,1.5018208962506743e-05,0.9989008040677158,3.407009576318264e-05,5.471503022160425e-05,0.0005089761727474644,5.4255818017668164e-05,0.00037310472956231743,1.0203665955199505e-05,4.885221005527915e-05,0.13779433202298763,2.37238247242331,0.0,0.00100853443945506,1.030273606138199e-251,0.9999999841620594,1.5837920765362623e-08,Bear,Small Cap,0.9989008040677158,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (0.0%), indicating risk-on allocation. The largest allocation is to Small Cap (99.9%). Turnover is low (0.00), meaning the policy stayed relatively stable. The realised next-period portfolio return was positive (13.78%)."
2004,0.00653277708619953,0.6147621522340689,0.013565786514043604,0.017103372471792912,0.27614373222130056,0.011755678515558823,0.031178982830225844,0.01779721167343063,0.01116030645276431,0.013378591190159472,2.4041216076685608,0.0,0.7682773036676778,2.0006454860733437e-260,0.9999999998187832,1.8126483696442324e-10,Bear,Small Cap,0.6147621522340689,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (1.1%), indicating risk-on allocation. The largest allocation is to Small Cap (61.5%). Turnover is high (0.77), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (1.34%)."
2005,0.02648479883139384,0.113215036552988,0.03834677705233124,0.05118062390887873,0.4918314100387754,0.03148228495628572,0.06900705571218035,0.14192813789439435,0.0365238750522803,0.05047762346075911,2.5254759529343294,0.0,1.0030942313622846,2.832465930090436e-261,0.9999999980041139,1.9958940365129213e-09,Bear,Baa Corporate,0.4918314100387754,Risk-on / Invested,"Bear regime probability is dominant, suggesting weaker market conditions. Cash weight is low (3.7%), indicating risk-on allocation. The largest allocation is to Baa Corporate (49.2%). Turnover is high (1.00), meaning the policy made a substantial allocation change. The realised next-period portfolio return was positive (5.05%)."
