Feature,MeanAbsSHAP
10Y Treasury_Vol,0.02117779408720316
Real Estate,0.011947291747589852
Crisis,0.01138334696280625
10Y Treasury,0.009160711777449268
Bull,0.007869367243339462
Gold,0.007146548112286227
Small Cap,0.006852475610082107
Max_Corr_Stress,0.006480314980206607
Baa Corporate_Vol,0.006146719510819387
Baa Corporate,0.005656186372735803
Real Estate_Vol,0.005626070468358302
Real Estate_Mom,0.005091800505768499
10Y Treasury_Mom,0.004324515513821242
S&P 500_DD,0.004291188026584349
Market_Avg_Return,0.003697202833762718
Small Cap_DD,0.003168697414170201
Real Estate_DD,0.002756001646614342
Gold_Vol,0.002469429798270309
S&P 500_Vol,0.002403703492311597
Gold_Mom,0.002255852925220331
S&P 500,0.0021722880578699095
Small Cap_Vol,0.0021240996069412437
Baa Corporate_DD,0.002099507850294397
S&P 500_Mom,0.0020188548574350956
Gold_DD,0.0017133082549728202
T-Bill_Mom,0.0016996729018209388
Market_Momentum,0.0016857168809143671
Avg_Corr_Stress,0.0016733900053787372
T-Bill_DD,0.0015518188984441632
Baa Corporate_Mom,0.0013209951306616349
Market_Rolling_Vol,0.0012921647190987438
10Y Treasury_DD,0.001142092273732321
Small Cap_Mom,0.0010581242099780759
Bear,0.0007389527515792594
Inflation,0.0006395164325851928
T-Bill,0.0005175169356261878
T-Bill_Vol,0.0004511915970393823
Inflation_Mom,0.0003679548295625229
Inflation_Vol,0.0001448801663922013
Inflation_DD,0.0
